Tree,Group,periodBegin,periodEnd
ET6,198,2022-11-21T23:45:00Z,2022-11-22T04:15:00Z
ET6,199,2022-11-25T01:30:00Z,2022-11-25T04:45:00Z
ET6,200,2022-11-25T23:45:00Z,2022-11-26T02:45:00Z
ET6,201,2022-11-26T22:30:00Z,2022-11-27T01:30:00Z
ET6,202,2022-11-28T00:00:00Z,2022-11-28T03:00:00Z
ET6,203,2022-11-28T23:00:00Z,2022-11-29T02:45:00Z
ET6,204,2022-11-29T22:00:00Z,2022-11-30T05:00:00Z
ET6,205,2022-12-02T00:45:00Z,2022-12-02T04:45:00Z
ET6,206,2022-12-03T18:30:00Z,2022-12-03T21:30:00Z
ET6,207,2022-12-04T18:30:00Z,2022-12-04T23:15:00Z
ET6,208,2022-12-07T00:30:00Z,2022-12-07T05:30:00Z
ET6,209,2022-12-07T23:00:00Z,2022-12-08T02:15:00Z
ET6,210,2022-12-12T18:30:00Z,2022-12-12T21:30:00Z
ET6,211,2022-12-14T19:15:00Z,2022-12-14T22:15:00Z
ET6,212,2022-12-16T23:00:00Z,2022-12-17T03:15:00Z
ET6,213,2023-01-09T20:45:00Z,2023-01-10T04:30:00Z
ET6,214,2023-01-13T00:30:00Z,2023-01-13T03:30:00Z
ET6,215,2023-01-19T18:45:00Z,2023-01-19T22:00:00Z
ET6,216,2023-01-30T18:00:00Z,2023-01-30T21:00:00Z
ET6,217,2023-02-28T19:45:00Z,2023-02-28T23:00:00Z
ET6,218,2023-03-01T22:45:00Z,2023-03-02T02:15:00Z
ET6,219,2023-03-08T19:15:00Z,2023-03-08T23:15:00Z
ET6,220,2023-03-29T02:15:00Z,2023-03-29T05:45:00Z
ET6,221,2023-04-12T20:00:00Z,2023-04-13T00:15:00Z
ET6,222,2023-05-01T21:00:00Z,2023-05-02T01:00:00Z
ET6,223,2023-06-20T01:15:00Z,2023-06-20T05:15:00Z
ET6,224,2023-06-23T23:15:00Z,2023-06-24T02:15:00Z
ET6,225,2023-06-28T00:00:00Z,2023-06-28T05:30:00Z
ET6,226,2023-07-05T19:30:00Z,2023-07-06T03:00:00Z
ET6,227,2023-07-10T02:00:00Z,2023-07-10T05:15:00Z
ET7,228,2022-07-04T00:00:00Z,2022-07-04T04:30:00Z
ET7,229,2022-07-04T21:30:00Z,2022-07-05T05:30:00Z
ET7,230,2022-07-06T02:30:00Z,2022-07-06T05:30:00Z
ET7,231,2022-07-22T21:15:00Z,2022-07-23T06:00:00Z
ET7,232,2022-07-30T23:45:00Z,2022-07-31T04:30:00Z
ET7,233,2022-08-13T00:45:00Z,2022-08-13T05:45:00Z
ET7,234,2022-09-02T00:15:00Z,2022-09-02T05:45:00Z
ET7,235,2022-09-10T22:15:00Z,2022-09-11T03:00:00Z
ET7,236,2022-09-12T00:45:00Z,2022-09-12T04:15:00Z
ET7,237,2022-09-17T00:30:00Z,2022-09-17T05:30:00Z
ET7,238,2022-10-03T00:00:00Z,2022-10-03T05:30:00Z
ET7,239,2022-10-03T18:00:00Z,2022-10-03T22:00:00Z
ET7,240,2022-10-13T23:30:00Z,2022-10-14T04:00:00Z
ET7,241,2022-10-23T00:30:00Z,2022-10-23T05:45:00Z
ET7,242,2022-11-14T00:45:00Z,2022-11-14T03:45:00Z
ET7,243,2022-11-21T23:45:00Z,2022-11-22T04:30:00Z
ET7,244,2022-11-25T01:30:00Z,2022-11-25T04:45:00Z
ET7,245,2022-11-28T23:00:00Z,2022-11-29T02:45:00Z
ET7,246,2022-11-29T22:00:00Z,2022-11-30T05:30:00Z
ET7,247,2022-12-02T01:00:00Z,2022-12-02T05:00:00Z
ET7,248,2022-12-03T18:15:00Z,2022-12-03T22:15:00Z
ET7,249,2022-12-28T22:30:00Z,2022-12-29T02:15:00Z
ET7,250,2023-01-02T02:00:00Z,2023-01-02T05:00:00Z
ET7,251,2023-01-09T17:30:00Z,2023-01-09T20:45:00Z
ET7,252,2023-01-18T00:45:00Z,2023-01-18T06:15:00Z
ET7,253,2023-01-22T23:00:00Z,2023-01-23T02:15:00Z
ET7,254,2023-03-20T19:15:00Z,2023-03-20T22:15:00Z
ET8,255,2022-06-09T23:30:00Z,2022-06-10T04:45:00Z
ET8,256,2022-06-25T02:00:00Z,2022-06-25T05:00:00Z
ET8,257,2022-07-04T21:45:00Z,2022-07-05T05:30:00Z
ET8,258,2022-07-06T02:30:00Z,2022-07-06T05:30:00Z
ET8,259,2022-07-10T00:30:00Z,2022-07-10T05:30:00Z
ET8,260,2022-07-20T00:00:00Z,2022-07-20T05:45:00Z
ET8,261,2022-07-22T21:30:00Z,2022-07-23T01:15:00Z
ET8,262,2022-07-24T00:00:00Z,2022-07-24T05:30:00Z
ET8,263,2022-07-27T23:00:00Z,2022-07-28T04:15:00Z
ET8,264,2022-07-31T01:30:00Z,2022-07-31T04:30:00Z
ET8,265,2022-07-31T18:15:00Z,2022-07-31T21:15:00Z
ET8,266,2022-08-13T00:30:00Z,2022-08-13T05:45:00Z
ET8,267,2022-08-20T20:00:00Z,2022-08-20T23:00:00Z
ET8,268,2022-09-01T20:00:00Z,2022-09-01T23:00:00Z
ET8,269,2022-09-12T00:45:00Z,2022-09-12T04:15:00Z
ET8,270,2022-09-16T00:45:00Z,2022-09-16T03:45:00Z
ET8,271,2022-09-16T23:00:00Z,2022-09-17T05:30:00Z
ET8,272,2022-09-19T23:15:00Z,2022-09-20T05:30:00Z
ET8,273,2022-09-23T17:30:00Z,2022-09-23T21:15:00Z
ET8,274,2022-09-28T22:30:00Z,2022-09-29T05:30:00Z
ET8,275,2022-10-03T00:00:00Z,2022-10-03T05:30:00Z
ET8,276,2022-10-03T18:00:00Z,2022-10-03T22:00:00Z
ET8,277,2022-10-05T19:30:00Z,2022-10-06T00:15:00Z
ET8,278,2022-10-07T23:45:00Z,2022-10-08T05:30:00Z
ET8,279,2022-10-10T17:30:00Z,2022-10-10T21:15:00Z
ET8,280,2022-10-11T21:30:00Z,2022-10-12T01:15:00Z
ET8,281,2022-10-13T18:30:00Z,2022-10-14T04:15:00Z
ET8,282,2022-10-14T22:30:00Z,2022-10-15T05:30:00Z
ET8,283,2022-10-16T00:45:00Z,2022-10-16T04:15:00Z
ET8,284,2022-10-17T22:30:00Z,2022-10-18T02:00:00Z
ET8,285,2022-11-01T00:45:00Z,2022-11-01T05:30:00Z
ET8,286,2022-11-10T23:45:00Z,2022-11-11T04:00:00Z
ET8,287,2022-11-13T02:45:00Z,2022-11-13T05:45:00Z
ET8,288,2022-11-14T00:45:00Z,2022-11-14T03:45:00Z
ET8,289,2022-11-16T01:15:00Z,2022-11-16T05:45:00Z
ET8,290,2022-11-18T02:00:00Z,2022-11-18T05:00:00Z
ET8,291,2022-11-21T23:45:00Z,2022-11-22T04:30:00Z
ET8,292,2022-11-25T23:15:00Z,2022-11-26T03:00:00Z
ET8,293,2022-11-27T22:45:00Z,2022-11-28T03:15:00Z
ET8,294,2022-11-28T22:45:00Z,2022-11-29T04:00:00Z
ET8,295,2022-11-29T21:45:00Z,2022-11-30T05:00:00Z
ET8,296,2022-12-02T00:45:00Z,2022-12-02T04:45:00Z
ET8,297,2022-12-03T17:45:00Z,2022-12-03T22:15:00Z
ET8,298,2022-12-04T02:00:00Z,2022-12-04T05:00:00Z
ET8,299,2022-12-04T19:45:00Z,2022-12-05T00:45:00Z
ET8,300,2022-12-06T21:45:00Z,2022-12-07T01:30:00Z
ET8,301,2022-12-17T00:15:00Z,2022-12-17T03:15:00Z
ET8,302,2022-12-27T19:15:00Z,2022-12-27T22:45:00Z
ET8,303,2022-12-28T21:45:00Z,2022-12-29T03:00:00Z
ET8,304,2023-01-11T21:30:00Z,2023-01-12T01:00:00Z
ET8,305,2023-01-18T00:45:00Z,2023-01-18T04:00:00Z
ET8,306,2023-02-18T01:00:00Z,2023-02-18T04:00:00Z
ET8,307,2023-03-08T19:30:00Z,2023-03-08T23:00:00Z
ET8,308,2023-03-20T19:15:00Z,2023-03-20T22:30:00Z
ET8,309,2023-04-30T02:15:00Z,2023-04-30T05:15:00Z
ET8,310,2023-05-01T20:45:00Z,2023-05-02T00:45:00Z
ET8,311,2023-06-18T01:30:00Z,2023-06-18T05:30:00Z
ET8,312,2023-06-20T01:15:00Z,2023-06-20T05:30:00Z
ET8,313,2023-06-27T19:45:00Z,2023-06-28T03:30:00Z
ET8,314,2023-07-05T19:15:00Z,2023-07-06T03:15:00Z
ET8,315,2023-07-08T20:30:00Z,2023-07-09T00:30:00Z
FB1,316,2022-06-26T18:15:00Z,2022-06-27T05:30:00Z
FB1,317,2022-06-28T00:15:00Z,2022-06-28T05:30:00Z
FB1,318,2022-07-03T22:30:00Z,2022-07-04T01:45:00Z
FB1,319,2022-07-04T19:00:00Z,2022-07-05T05:30:00Z
FB1,320,2022-07-08T00:00:00Z,2022-07-08T05:30:00Z
FB1,321,2022-07-09T21:45:00Z,2022-07-10T02:45:00Z
FB1,322,2022-07-12T01:30:00Z,2022-07-12T05:30:00Z
FB1,323,2022-07-15T18:30:00Z,2022-07-15T21:30:00Z
FB1,324,2022-07-20T00:15:00Z,2022-07-20T05:45:00Z
FB1,325,2022-07-23T18:15:00Z,2022-07-23T22:45:00Z
FB1,326,2022-07-27T02:00:00Z,2022-07-27T05:30:00Z
FB1,327,2022-07-29T01:00:00Z,2022-07-29T05:30:00Z
FB1,328,2022-07-29T18:15:00Z,2022-07-29T21:45:00Z
FB1,329,2022-07-31T23:15:00Z,2022-08-01T02:45:00Z
FB1,330,2022-08-06T18:30:00Z,2022-08-07T02:15:00Z
FB1,331,2022-08-13T19:30:00Z,2022-08-13T22:45:00Z
FB1,332,2022-08-17T01:15:00Z,2022-08-17T04:30:00Z
