periodBegin,periodEnd,Tree
2022-10-15T02:00:00Z,2022-10-15T05:45:00Z,ET4
2022-10-24T19:15:00Z,2022-10-24T22:45:00Z,ET4
2022-10-25T18:00:00Z,2022-10-25T22:45:00Z,ET4
2022-11-14T00:45:00Z,2022-11-14T04:00:00Z,ET4
2022-11-21T23:45:00Z,2022-11-22T04:45:00Z,ET4
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET4
2022-12-04T19:00:00Z,2022-12-05T01:00:00Z,ET4
2022-12-07T23:00:00Z,2022-12-08T02:00:00Z,ET4
2022-12-08T18:00:00Z,2022-12-08T21:45:00Z,ET4
2022-12-14T19:15:00Z,2022-12-14T22:15:00Z,ET4
2023-01-09T21:30:00Z,2023-01-10T04:15:00Z,ET4
2023-02-28T19:45:00Z,2023-02-28T23:00:00Z,ET4
2023-03-02T18:30:00Z,2023-03-02T23:00:00Z,ET4
2023-03-08T19:30:00Z,2023-03-08T22:45:00Z,ET4
2023-03-20T19:15:00Z,2023-03-20T22:30:00Z,ET4
2023-04-12T20:00:00Z,2023-04-13T00:15:00Z,ET4
2023-04-30T02:15:00Z,2023-04-30T05:15:00Z,ET4
2023-06-20T01:15:00Z,2023-06-20T05:30:00Z,ET4
2023-06-27T23:45:00Z,2023-06-28T05:30:00Z,ET4
2023-07-05T19:15:00Z,2023-07-06T03:15:00Z,ET4
2023-07-27T20:15:00Z,2023-07-28T01:00:00Z,ET4
2023-07-28T18:15:00Z,2023-07-28T22:00:00Z,ET4
2023-07-31T21:15:00Z,2023-08-01T05:45:00Z,ET4
2023-08-25T23:00:00Z,2023-08-26T04:45:00Z,ET4
2023-08-31T01:45:00Z,2023-08-31T04:45:00Z,ET4
2023-09-26T18:00:00Z,2023-09-26T22:30:00Z,ET4
2023-09-29T00:45:00Z,2023-09-29T05:30:00Z,ET4
2023-10-25T02:45:00Z,2023-10-25T05:45:00Z,ET4
2023-11-07T02:00:00Z,2023-11-07T06:00:00Z,ET4
2023-11-09T18:00:00Z,2023-11-09T23:15:00Z,ET4
2023-11-14T20:45:00Z,2023-11-15T02:15:00Z,ET4
2023-11-20T20:30:00Z,2023-11-21T01:45:00Z,ET4
2023-11-24T22:00:00Z,2023-11-25T01:15:00Z,ET4
2023-11-26T00:15:00Z,2023-11-26T04:15:00Z,ET4
2022-07-19T23:15:00Z,2022-07-20T05:45:00Z,ET5
2022-07-23T01:15:00Z,2022-07-23T04:30:00Z,ET5
2022-08-13T00:30:00Z,2022-08-13T05:30:00Z,ET5
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET5
2022-10-03T00:00:00Z,2022-10-03T03:00:00Z,ET5
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET5
2022-10-05T20:00:00Z,2022-10-06T03:30:00Z,ET5
2022-11-14T00:45:00Z,2022-11-14T03:45:00Z,ET5
2022-11-28T23:45:00Z,2022-11-29T02:45:00Z,ET5
2022-11-29T22:30:00Z,2022-11-30T03:00:00Z,ET5
2022-12-04T18:30:00Z,2022-12-04T23:15:00Z,ET5
2022-12-07T00:00:00Z,2022-12-07T05:45:00Z,ET5
2022-12-07T22:00:00Z,2022-12-08T01:00:00Z,ET5
2022-12-08T19:45:00Z,2022-12-09T00:00:00Z,ET5
2022-12-12T18:15:00Z,2022-12-12T21:45:00Z,ET5
2022-12-28T22:30:00Z,2022-12-29T04:30:00Z,ET5
2023-01-09T21:00:00Z,2023-01-10T06:00:00Z,ET5
2023-01-11T22:00:00Z,2023-01-12T01:45:00Z,ET5
2023-01-25T01:30:00Z,2023-01-25T05:15:00Z,ET5
2023-03-08T19:15:00Z,2023-03-09T04:15:00Z,ET5
2023-04-20T19:15:00Z,2023-04-20T23:00:00Z,ET5
2023-05-01T23:45:00Z,2023-05-02T03:15:00Z,ET5
2023-05-03T20:30:00Z,2023-05-04T00:00:00Z,ET5
2023-05-09T19:45:00Z,2023-05-09T22:45:00Z,ET5
2023-06-11T18:45:00Z,2023-06-11T23:30:00Z,ET5
2023-06-28T00:00:00Z,2023-06-28T05:15:00Z,ET5
2023-07-10T01:45:00Z,2023-07-10T05:15:00Z,ET5
2023-07-21T23:45:00Z,2023-07-22T03:15:00Z,ET5
2023-07-28T18:15:00Z,2023-07-28T21:45:00Z,ET5
2023-07-30T22:15:00Z,2023-07-31T01:45:00Z,ET5
2023-07-31T19:30:00Z,2023-08-01T00:30:00Z,ET5
2023-08-01T01:00:00Z,2023-08-01T05:30:00Z,ET5
2023-08-09T21:45:00Z,2023-08-10T01:15:00Z,ET5
2023-08-28T18:30:00Z,2023-08-28T21:45:00Z,ET5
2023-08-31T01:00:00Z,2023-08-31T05:30:00Z,ET5
2023-09-09T00:15:00Z,2023-09-09T05:30:00Z,ET5
2023-09-28T22:45:00Z,2023-09-29T05:30:00Z,ET5
2023-11-03T01:45:00Z,2023-11-03T05:00:00Z,ET5
2023-11-04T22:30:00Z,2023-11-05T04:15:00Z,ET5
2023-11-09T18:00:00Z,2023-11-09T23:30:00Z,ET5
2023-11-10T23:15:00Z,2023-11-11T02:30:00Z,ET5
2023-11-14T21:00:00Z,2023-11-15T00:15:00Z,ET5
2023-11-24T19:45:00Z,2023-11-25T01:30:00Z,ET5
2023-11-25T22:45:00Z,2023-11-26T04:15:00Z,ET5
2022-07-02T18:00:00Z,2022-07-02T21:00:00Z,ET6
2022-07-04T00:45:00Z,2022-07-04T04:00:00Z,ET6
2022-07-04T23:15:00Z,2022-07-05T03:00:00Z,ET6
2022-07-31T18:15:00Z,2022-07-31T21:15:00Z,ET6
2022-08-13T00:45:00Z,2022-08-13T05:45:00Z,ET6
2022-09-04T23:30:00Z,2022-09-05T05:30:00Z,ET6
2022-09-12T01:00:00Z,2022-09-12T04:15:00Z,ET6
2022-10-03T00:00:00Z,2022-10-03T05:30:00Z,ET6
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET6
2022-10-05T19:15:00Z,2022-10-06T00:30:00Z,ET6
2022-11-14T00:45:00Z,2022-11-14T04:00:00Z,ET6
2022-11-14T22:45:00Z,2022-11-15T01:45:00Z,ET6
2022-11-15T02:15:00Z,2022-11-15T05:45:00Z,ET6
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET6
2022-11-28T23:45:00Z,2022-11-29T02:45:00Z,ET6
2022-11-29T22:30:00Z,2022-11-30T03:00:00Z,ET6
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET6
2022-12-04T19:15:00Z,2022-12-04T23:15:00Z,ET6
2022-12-14T19:15:00Z,2022-12-14T22:15:00Z,ET6
2023-01-10T00:00:00Z,2023-01-10T04:30:00Z,ET6
2023-01-19T19:00:00Z,2023-01-19T22:00:00Z,ET6
2023-03-08T19:30:00Z,2023-03-08T23:00:00Z,ET6
2023-05-01T21:45:00Z,2023-05-02T00:45:00Z,ET6
2023-06-20T02:00:00Z,2023-06-20T05:15:00Z,ET6
2023-06-28T00:15:00Z,2023-06-28T05:30:00Z,ET6
2023-07-05T19:30:00Z,2023-07-06T03:00:00Z,ET6
2023-07-28T18:00:00Z,2023-07-28T22:00:00Z,ET6
2023-07-30T20:30:00Z,2023-07-31T05:30:00Z,ET6
2023-07-31T20:00:00Z,2023-08-01T05:30:00Z,ET6
2023-08-03T21:30:00Z,2023-08-04T01:30:00Z,ET6
2023-08-21T02:00:00Z,2023-08-21T05:45:00Z,ET6
2023-08-26T00:00:00Z,2023-08-26T04:45:00Z,ET6
2023-08-31T00:30:00Z,2023-08-31T05:45:00Z,ET6
2023-09-11T23:00:00Z,2023-09-12T02:30:00Z,ET6
2023-09-28T22:30:00Z,2023-09-29T05:30:00Z,ET6
2023-11-07T02:15:00Z,2023-11-07T05:45:00Z,ET6
2023-11-09T18:00:00Z,2023-11-09T23:15:00Z,ET6
2023-11-14T21:15:00Z,2023-11-15T00:15:00Z,ET6
2022-07-04T00:15:00Z,2022-07-04T04:15:00Z,ET7
2022-07-04T21:30:00Z,2022-07-05T05:30:00Z,ET7
2022-07-06T02:30:00Z,2022-07-06T05:30:00Z,ET7
2022-07-22T21:15:00Z,2022-07-23T06:00:00Z,ET7
2022-07-31T00:30:00Z,2022-07-31T04:30:00Z,ET7
2022-08-13T00:45:00Z,2022-08-13T05:45:00Z,ET7
2022-09-02T00:30:00Z,2022-09-02T04:00:00Z,ET7
2022-09-10T22:15:00Z,2022-09-11T03:00:00Z,ET7
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET7
2022-09-17T00:30:00Z,2022-09-17T05:30:00Z,ET7
2022-10-03T00:00:00Z,2022-10-03T05:30:00Z,ET7
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET7
2022-10-14T01:00:00Z,2022-10-14T04:00:00Z,ET7
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET7
2022-11-28T23:45:00Z,2022-11-29T02:45:00Z,ET7
2022-11-29T23:00:00Z,2022-11-30T03:00:00Z,ET7
2022-12-02T01:00:00Z,2022-12-02T04:45:00Z,ET7
2022-12-03T18:30:00Z,2022-12-03T22:15:00Z,ET7
2023-07-05T22:15:00Z,2023-07-06T02:45:00Z,ET7
2023-07-27T20:45:00Z,2023-07-28T00:45:00Z,ET7
2023-07-31T22:45:00Z,2023-08-01T05:30:00Z,ET7
2023-08-26T00:15:00Z,2023-08-26T04:45:00Z,ET7
2023-09-28T22:00:00Z,2023-09-29T05:30:00Z,ET7
2023-10-25T00:00:00Z,2023-10-25T05:30:00Z,ET7
2023-11-04T18:00:00Z,2023-11-05T04:30:00Z,ET7
2023-11-06T21:15:00Z,2023-11-07T00:30:00Z,ET7
2023-11-07T02:30:00Z,2023-11-07T05:45:00Z,ET7
2023-11-09T19:00:00Z,2023-11-09T22:00:00Z,ET7
2022-06-10T00:45:00Z,2022-06-10T04:45:00Z,ET8
2022-07-04T21:45:00Z,2022-07-05T05:30:00Z,ET8
2022-07-06T02:30:00Z,2022-07-06T05:30:00Z,ET8
2022-07-20T00:15:00Z,2022-07-20T05:45:00Z,ET8
2022-07-22T21:30:00Z,2022-07-23T01:15:00Z,ET8
2022-07-24T00:00:00Z,2022-07-24T05:30:00Z,ET8
2022-07-31T01:30:00Z,2022-07-31T04:30:00Z,ET8
2022-07-31T18:15:00Z,2022-07-31T21:15:00Z,ET8
2022-08-13T00:30:00Z,2022-08-13T05:45:00Z,ET8
2022-08-20T20:00:00Z,2022-08-20T23:00:00Z,ET8
2022-09-01T20:00:00Z,2022-09-01T23:00:00Z,ET8
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET8
2022-09-16T00:45:00Z,2022-09-16T03:45:00Z,ET8
2022-09-23T18:15:00Z,2022-09-23T21:15:00Z,ET8
2022-09-28T22:45:00Z,2022-09-29T05:30:00Z,ET8
2022-10-03T00:00:00Z,2022-10-03T05:30:00Z,ET8
2022-10-03T18:00:00Z,2022-10-03T21:45:00Z,ET8
2022-10-05T20:30:00Z,2022-10-06T00:15:00Z,ET8
2022-10-13T20:00:00Z,2022-10-14T04:15:00Z,ET8
2022-10-14T22:30:00Z,2022-10-15T05:30:00Z,ET8
2022-10-16T00:45:00Z,2022-10-16T04:15:00Z,ET8
2022-11-11T00:45:00Z,2022-11-11T03:45:00Z,ET8
2022-11-14T00:45:00Z,2022-11-14T03:45:00Z,ET8
2022-11-18T02:00:00Z,2022-11-18T05:00:00Z,ET8
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET8
2022-11-28T22:45:00Z,2022-11-29T02:45:00Z,ET8
2022-11-29T22:00:00Z,2022-11-30T03:00:00Z,ET8
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET8
2022-12-03T18:15:00Z,2022-12-03T21:30:00Z,ET8
2022-12-28T22:15:00Z,2022-12-29T03:00:00Z,ET8
2023-01-11T22:00:00Z,2023-01-12T01:00:00Z,ET8
2023-03-08T19:30:00Z,2023-03-08T23:00:00Z,ET8
2023-04-30T02:15:00Z,2023-04-30T05:15:00Z,ET8
2023-05-01T21:00:00Z,2023-05-02T00:30:00Z,ET8
2023-06-27T23:00:00Z,2023-06-28T03:30:00Z,ET8
2023-07-05T19:30:00Z,2023-07-05T22:30:00Z,ET8
2023-07-22T00:00:00Z,2023-07-22T04:30:00Z,ET8
2023-07-27T21:45:00Z,2023-07-28T01:00:00Z,ET8
2023-07-28T18:15:00Z,2023-07-28T21:45:00Z,ET8
2023-07-30T20:15:00Z,2023-07-30T23:45:00Z,ET8
2023-07-31T19:00:00Z,2023-08-01T05:30:00Z,ET8
2023-08-03T22:30:00Z,2023-08-04T01:30:00Z,ET8
2023-08-17T23:45:00Z,2023-08-18T05:15:00Z,ET8
2023-08-19T20:45:00Z,2023-08-20T00:00:00Z,ET8
2023-08-21T01:45:00Z,2023-08-21T05:30:00Z,ET8
2023-08-26T00:00:00Z,2023-08-26T04:45:00Z,ET8
2023-09-15T00:45:00Z,2023-09-15T03:45:00Z,ET8
2023-09-26T18:00:00Z,2023-09-26T22:00:00Z,ET8
2023-09-29T01:00:00Z,2023-09-29T05:30:00Z,ET8
2023-10-14T23:00:00Z,2023-10-15T02:30:00Z,ET8
2023-10-24T23:45:00Z,2023-10-25T03:15:00Z,ET8
2023-11-04T23:00:00Z,2023-11-05T04:15:00Z,ET8
2023-11-07T01:45:00Z,2023-11-07T05:45:00Z,ET8
2023-11-09T18:00:00Z,2023-11-09T22:45:00Z,ET8
2023-11-14T21:00:00Z,2023-11-15T00:15:00Z,ET8
2023-11-24T19:45:00Z,2023-11-25T01:15:00Z,ET8
2023-11-25T22:30:00Z,2023-11-26T04:15:00Z,ET8
2022-06-26T18:15:00Z,2022-06-27T05:30:00Z,FB1
2022-06-28T00:15:00Z,2022-06-28T05:30:00Z,FB1
2022-07-03T22:30:00Z,2022-07-04T01:45:00Z,FB1
2022-07-04T19:00:00Z,2022-07-05T03:00:00Z,FB1
2022-07-08T02:15:00Z,2022-07-08T05:30:00Z,FB1
2022-07-09T21:45:00Z,2022-07-10T02:15:00Z,FB1
2022-07-12T02:00:00Z,2022-07-12T05:30:00Z,FB1
2022-07-27T02:00:00Z,2022-07-27T05:30:00Z,FB1
2022-07-29T01:00:00Z,2022-07-29T05:30:00Z,FB1
2022-07-29T18:15:00Z,2022-07-29T21:45:00Z,FB1
2022-07-31T23:45:00Z,2022-08-01T02:45:00Z,FB1
2022-08-06T19:15:00Z,2022-08-07T02:15:00Z,FB1
2022-08-13T19:30:00Z,2022-08-13T22:30:00Z,FB1
2022-08-20T19:15:00Z,2022-08-21T01:00:00Z,FB1
2022-09-30T00:15:00Z,2022-09-30T05:30:00Z,FB1
