Tree,Cable,Timestamp,baseline_inner,baseline_middle,baseline_outer
FB1,4b,2023-08-26T10:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T11:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T11:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T11:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T11:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T12:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T12:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T12:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T12:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T13:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T13:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T13:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T13:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T14:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T14:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T14:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T14:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T15:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T15:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T15:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T15:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T16:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T16:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T16:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T16:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T17:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T17:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T17:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T17:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T18:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T18:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T18:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T18:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T19:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T19:15:00Z,no_bl_val,no_bl_val,no_bl_val
