periodBegin,periodEnd,Tree
2024-01-27T01:00:00Z,2024-01-27T04:00:00Z,TV3
2024-01-28T01:15:00Z,2024-01-28T06:00:00Z,TV3
2024-02-02T20:00:00Z,2024-02-03T00:15:00Z,TV3
2024-02-04T18:00:00Z,2024-02-04T21:45:00Z,TV3
2024-02-05T18:00:00Z,2024-02-05T22:15:00Z,TV3
2024-02-06T18:00:00Z,2024-02-07T03:45:00Z,TV3
2024-02-11T18:15:00Z,2024-02-11T23:00:00Z,TV3
2024-02-12T19:00:00Z,2024-02-12T22:45:00Z,TV3
2024-02-15T00:00:00Z,2024-02-15T03:15:00Z,TV3
2024-02-17T18:15:00Z,2024-02-18T03:15:00Z,TV3
2024-02-22T18:00:00Z,2024-02-22T21:30:00Z,TV3
2024-02-23T18:00:00Z,2024-02-23T21:30:00Z,TV3
2024-02-28T02:30:00Z,2024-02-28T05:30:00Z,TV3
2024-03-03T01:45:00Z,2024-03-03T06:00:00Z,TV3
2024-03-03T20:30:00Z,2024-03-04T05:30:00Z,TV3
2024-03-04T19:00:00Z,2024-03-05T06:00:00Z,TV3
2024-03-05T20:45:00Z,2024-03-06T03:00:00Z,TV3
2024-03-06T18:30:00Z,2024-03-07T01:00:00Z,TV3
2024-03-12T21:00:00Z,2024-03-13T00:45:00Z,TV3
2024-03-13T02:15:00Z,2024-03-13T05:45:00Z,TV3
2024-03-13T18:00:00Z,2024-03-13T23:30:00Z,TV3
2024-03-14T02:00:00Z,2024-03-14T06:00:00Z,TV3
2024-03-17T23:00:00Z,2024-03-18T05:30:00Z,TV3
2024-03-22T20:00:00Z,2024-03-23T01:45:00Z,TV3
2024-03-23T19:45:00Z,2024-03-23T22:45:00Z,TV3
2024-03-24T00:00:00Z,2024-03-24T05:45:00Z,TV3
2024-03-25T18:15:00Z,2024-03-26T03:15:00Z,TV3
2024-03-26T18:30:00Z,2024-03-27T05:30:00Z,TV3
2024-04-07T18:00:00Z,2024-04-07T22:45:00Z,TV3
2024-04-09T18:00:00Z,2024-04-10T02:30:00Z,TV3
2024-04-10T22:45:00Z,2024-04-11T04:30:00Z,TV3
2024-04-25T01:15:00Z,2024-04-25T05:30:00Z,TV3
2024-04-28T21:30:00Z,2024-04-29T00:30:00Z,TV3
2024-05-07T21:45:00Z,2024-05-08T05:15:00Z,TV3
2024-05-08T21:45:00Z,2024-05-09T01:30:00Z,TV3
2024-05-13T20:00:00Z,2024-05-14T04:15:00Z,TV3
2024-05-24T20:30:00Z,2024-05-25T00:00:00Z,TV3
